OBJECTID,Name,Jurisdiction,County,Type,Sub_Type,Status,Acres,Source,centroid_lat,centroid_lon
26468,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0357193,-83.2021214
26469,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9897773,-83.0977660
26470,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9858355,-83.1737573
26471,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9852743,-83.1773870
26472,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9870415,-83.1778891
26473,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9820226,-83.1732706
26474,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9794925,-83.1753576
26475,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9903520,-83.1792276
26476,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9898956,-83.1731996
26477,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9937788,-83.1716854
26478,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9930667,-83.1599981
26479,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9853723,-83.1641288
26480,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9764082,-83.1720983
26481,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9832743,-83.1012326
26482,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9796881,-83.1602461
26483,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9802580,-83.1574638
26484,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9803975,-83.0967632
26485,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9922451,-83.0737377
26486,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9793944,-83.0675737
26487,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9890785,-83.1597659
26488,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9915443,-83.1598657
26489,,,FRA,GREEN SPACE,NOS,,,Parcels,,
26490,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0195803,-83.0181032
26491,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9669039,-83.0574369
26492,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9695922,-83.0369540
26493,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0603718,-83.1760257
26494,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0668161,-83.1826338
26495,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0668526,-83.1823057
26496,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0638748,-83.1822292
26497,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0562054,-83.1781420
26498,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0578122,-83.1609179
26499,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0633889,-83.1783091
26500,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0555290,-83.1677813
26501,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0645125,-83.1842013
26502,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0674655,-83.1752123
26503,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0644091,-83.1253731
26504,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0643672,-83.1238742
26505,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0635277,-83.1222918
26506,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0681595,-83.1720944
26507,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9707116,-83.0398287
26508,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9706948,-83.0407681
26509,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0513844,-83.1849091
26510,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0437283,-83.1768968
26511,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0402700,-83.1763205
26512,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0472022,-83.1813654
26513,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0492915,-83.1885519
26514,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0639857,-83.1353259
26515,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0437953,-83.1877289
26516,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0522642,-83.1790002
26517,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0476674,-83.1369452
26518,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0515437,-83.1876742
26519,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0591441,-83.1861190
26520,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0592360,-83.1870424
26521,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0586798,-83.1888704
26522,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0561356,-83.1898394
26523,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0471231,-83.1340875
26524,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0506781,-83.1720485
26525,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0520736,-83.1702915
26526,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0500648,-83.1699841
26527,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0497500,-83.1716552
26528,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0471004,-83.1714799
26529,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0482087,-83.1715242
26530,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0475842,-83.1705035
26531,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0534424,-83.1689944
26532,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0505312,-83.1967650
26533,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0503706,-83.1939956
26534,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0527274,-83.1956827
26535,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0512995,-83.1993168
26536,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0486687,-83.1937867
26537,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0482553,-83.1969568
26538,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0807534,-83.1089193
26539,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0789717,-83.1081483
26540,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0786535,-83.1082563
26541,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0780968,-83.1069317
26542,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0816030,-83.1095067
26543,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0955202,-83.1301667
26544,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0948783,-83.1257159
26545,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0928878,-83.1252646
26546,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0867666,-83.1247226
26547,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0661757,-83.1658815
26548,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0664528,-83.1615807
26549,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0859373,-83.1104310
26550,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9669972,-83.0375498
26551,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9685062,-83.0389364
26552,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0242823,-83.1102895
26555,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0437283,-83.1768968
26556,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0402700,-83.1763205
26557,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0471231,-83.1340875
26558,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0242823,-83.1102895
26559,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9659704,-82.8308267
26560,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9084925,-82.8065243
26561,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8995818,-83.1103595
26562,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8903061,-82.8480658
26563,,,FRA,GREEN SPACE,NOS,,,Parcels,39.9134276,-82.8677218
26564,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8904696,-83.0436707
26565,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8340776,-83.0566066
26566,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8872831,-83.0567475
26567,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8940196,-83.1145096
26568,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8611134,-83.0880541
26569,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8688269,-83.0487793
26570,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8726421,-83.1056168
26571,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8723370,-83.1093503
26572,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8600944,-83.0769464
26573,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8586890,-83.0367141
26574,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8632384,-83.0755501
26575,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8737045,-83.1052309
26576,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8607672,-83.0625236
26577,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8607872,-83.0369800
26578,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8610692,-83.0937219
26579,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8613429,-83.0648717
26580,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8563413,-83.0726633
26581,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8646192,-83.0966372
26582,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8874431,-83.0981312
26583,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8864729,-83.0941468
26584,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8355510,-83.0353711
26585,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8358341,-83.0381312
26586,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8471960,-83.0477974
26587,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8471840,-83.0502680
26588,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8364329,-83.0352779
26589,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8587286,-83.0855109
26590,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8375870,-83.0378530
26591,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8870421,-83.1040974
26592,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8855296,-83.1018564
26593,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8649087,-83.0292753
26594,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8739797,-83.1087441
26595,,,FRA,GREEN SPACE,NOS,,,Parcels,39.8711490,-83.0569531
26596,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0437283,-83.1768968
26597,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0402700,-83.1763205
26598,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0188385,-83.1838949
26599,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0202043,-83.1778751
26600,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0162798,-83.1835815
26601,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0149431,-83.1833113
26602,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0177427,-83.1839087
26603,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0471231,-83.1340875
26604,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0255089,-83.1964455
26605,,,FRA,GREEN SPACE,NOS,,,Parcels,40.0240616,-83.2002317
