OBJECTID,County,LocalParcelID,StateParcelID,Name,Situs Address All,Owner All,Mail Address,Mail State,AgencyName,Calculated Acreage,Auditor Link
9055,Franklin,010-042874,39049-010-042874,,,,,,HIGHER EDUCATION,0.12494935036013,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-042874
9056,Franklin,010-047045,39049-010-047045,,,,,,HIGHER EDUCATION,0.146034133249093,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-047045
9057,Franklin,010-053602,39049-010-053602,,,,,,HIGHER EDUCATION,0.179609682887105,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-053602
9058,Franklin,010-037246,39049-010-037246,,,,,,TRANSPORTATION,0.0607201329440975,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-037246
9059,Franklin,010-043642,39049-010-043642,,,,,,TRANSPORTATION,0.0717029767590744,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-043642
9060,Franklin,010-023665,39049-010-023665,,,,,,HIGHER EDUCATION,0.127610909831029,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-023665
9061,Franklin,010-056613,39049-010-056613,,,,,,TRANSPORTATION,0.094005660865527,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-056613
9062,Franklin,010-018563,39049-010-018563,,,,,,TRANSPORTATION,0.0711796561344895,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-018563
9063,Franklin,010-009652,39049-010-009652,,,,,,TRANSPORTATION,0.0386084353966495,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-009652
9064,Franklin,010-016926,39049-010-016926,,,,,,TRANSPORTATION,0.0952910416318839,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-016926
9065,Franklin,010-000984,39049-010-000984,,,,,,TRANSPORTATION,0.0729821554734703,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-000984
9066,Franklin,010-008925,39049-010-008925,,,,,,TRANSPORTATION,0.0842078675252249,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-008925
9067,Franklin,010-009456,39049-010-009456,,,,,,HIGHER EDUCATION,0.634485526638088,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-009456
9068,Franklin,010-020348,39049-010-020348,,,,,,HIGHER EDUCATION,1.63870741699019,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-020348
9069,Franklin,010-029771,39049-010-029771,,,,,,HIGHER EDUCATION,0.107999072107112,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-029771
9070,Franklin,010-034817,39049-010-034817,,,,,,HIGHER EDUCATION,0.0982698330168595,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-034817
9071,Franklin,010-048780,39049-010-048780,,,,,,HIGHER EDUCATION,0.101544309769486,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-048780
9072,Franklin,010-141166,39049-010-141166,,,,,,HIGHER EDUCATION,0.183750523445341,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-141166
9073,Franklin,010-004693,39049-010-004693,,,,,,HIGHER EDUCATION,0.143134099852496,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-004693
9074,Franklin,010-032095,39049-010-032095,,,,,,HIGHER EDUCATION,0.320282334657031,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-032095
9075,Franklin,010-040562,39049-010-040562,,,,,,TRANSPORTATION,0.0891144811149929,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-040562
9076,Franklin,010-039955,39049-010-039955,,,,,,HIGHER EDUCATION,0.0545919732093458,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-039955
9077,Franklin,010-038719,39049-010-038719,,,,,,HIGHER EDUCATION,0.100019708826304,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-038719
9078,Franklin,100-001368,39049-100-001368,,,,,,HIGHER EDUCATION,1.5756152615277,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/100-001368
9079,Franklin,273-011342,39049-273-011342,,,,,,HIGHER EDUCATION,38.3965619380401,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/273-011342
9080,Franklin,010-045709,39049-010-045709,,,,,,HIGHER EDUCATION,0.160212416635578,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-045709
9081,Franklin,010-034255,39049-010-034255,,,,,,HIGHER EDUCATION,0.114055053499477,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-034255
9082,Franklin,010-015370,39049-010-015370,,,,,,HIGHER EDUCATION,0.699307492900101,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-015370
9083,Franklin,010-000966,39049-010-000966,,,,,,HIGHER EDUCATION,0.118107546340804,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-000966
9084,Franklin,010-067026,39049-010-067026,,,,,,HIGHER EDUCATION,0.337062755301382,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-067026
9085,Franklin,010-031888,39049-010-031888,,,,,,HIGHER EDUCATION,0.076667432023551,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-031888
9086,Franklin,010-032959,39049-010-032959,,,,,,HIGHER EDUCATION,0.172461778640503,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-032959
9087,Franklin,010-110285,39049-010-110285,,,,,,EDUCATION,96.1755447533969,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-110285
9088,Franklin,010-288201,39049-010-288201,,,,,,HIGHER EDUCATION,3.2005919429329,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-288201
